timestamp,player_name,market_key,market_name,outcome,best_price,point,best_bookmaker,description
2025-06-18T20:15:11.954170,Obi Toppin,player_rebounds,Player Rebounds (Over/Under),Under,114,4.5,fanduel,Obi Toppin
2025-06-18T20:15:11.954174,Isaiah Hartenstein,player_rebounds,Player Rebounds (Over/Under),Over,-114,6.5,fanduel,Isaiah Hartenstein
2025-06-18T20:15:11.954178,Isaiah Hartenstein,player_rebounds,Player Rebounds (Over/Under),Under,-114,6.5,fanduel,Isaiah Hartenstein
2025-06-18T20:15:11.954181,Aaron Nesmith,player_rebounds,Player Rebounds (Over/Under),Over,-158,4.5,fanduel,Aaron Nesmith
2025-06-18T20:15:11.954185,Aaron Nesmith,player_rebounds,Player Rebounds (Over/Under),Under,118,4.5,fanduel,Aaron Nesmith
2025-06-18T20:15:11.954188,Jalen Williams,player_rebounds,Player Rebounds (Over/Under),Over,-110,5.5,fanduel,Jalen Williams
2025-06-18T20:15:11.954192,Jalen Williams,player_rebounds,Player Rebounds (Over/Under),Under,-118,5.5,fanduel,Jalen Williams
2025-06-18T20:15:11.954196,Bennedict Mathurin,player_rebounds,Player Rebounds (Over/Under),Over,100,3.5,fanduel,Bennedict Mathurin
2025-06-18T20:15:11.954199,Bennedict Mathurin,player_rebounds,Player Rebounds (Over/Under),Under,-132,3.5,fanduel,Bennedict Mathurin
2025-06-18T20:15:11.954203,Alex Caruso,player_rebounds,Player Rebounds (Over/Under),Over,-144,3.5,fanduel,Alex Caruso
2025-06-18T20:15:11.954207,Alex Caruso,player_rebounds,Player Rebounds (Over/Under),Under,108,3.5,fanduel,Alex Caruso
2025-06-18T20:15:11.954211,Luguentz Dort,player_rebounds,Player Rebounds (Over/Under),Over,-132,3.5,fanduel,Luguentz Dort
2025-06-18T20:15:11.954214,Luguentz Dort,player_rebounds,Player Rebounds (Over/Under),Under,100,3.5,fanduel,Luguentz Dort
2025-06-18T20:15:11.954224,Aaron Nesmith,player_steals,Player Steals (Over/Under),Over,-146,0.5,fanduel,Aaron Nesmith
2025-06-18T20:15:11.954227,Aaron Nesmith,player_steals,Player Steals (Over/Under),Under,110,0.5,fanduel,Aaron Nesmith
2025-06-18T20:15:11.954231,Jalen Williams,player_steals,Player Steals (Over/Under),Over,138,1.5,fanduel,Jalen Williams
2025-06-18T20:15:11.954237,Jalen Williams,player_steals,Player Steals (Over/Under),Under,-186,1.5,fanduel,Jalen Williams
2025-06-18T20:15:11.954258,Shai Gilgeous-Alexander,player_steals,Player Steals (Over/Under),Over,-106,1.5,fanduel,Shai Gilgeous-Alexander
2025-06-18T20:15:11.954267,Shai Gilgeous-Alexander,player_steals,Player Steals (Over/Under),Under,-125,1.5,fanduel,Shai Gilgeous-Alexander
2025-06-18T20:15:11.954275,Pascal Siakam,player_steals,Player Steals (Over/Under),Over,-225,0.5,fanduel,Pascal Siakam
2025-06-18T20:15:11.954279,Pascal Siakam,player_steals,Player Steals (Over/Under),Under,164,0.5,fanduel,Pascal Siakam
2025-06-18T20:15:11.954284,Andrew Nembhard,player_steals,Player Steals (Over/Under),Over,-245,0.5,fanduel,Andrew Nembhard
2025-06-18T20:15:11.954288,Andrew Nembhard,player_steals,Player Steals (Over/Under),Under,178,0.5,fanduel,Andrew Nembhard
2025-06-18T20:15:11.954293,Cason Wallace,player_threes,Player Three-Pointers Made (Over/Under),Over,-152,0.5,fanduel,Cason Wallace
2025-06-18T20:15:11.954297,Cason Wallace,player_threes,Player Three-Pointers Made (Over/Under),Under,114,0.5,fanduel,Cason Wallace
2025-06-18T20:15:11.954303,Aaron Wiggins,player_threes,Player Three-Pointers Made (Over/Under),Over,-148,0.5,fanduel,Aaron Wiggins
2025-06-18T20:15:11.954308,Aaron Wiggins,player_threes,Player Three-Pointers Made (Over/Under),Under,112,0.5,fanduel,Aaron Wiggins
2025-06-18T20:15:11.954313,Alex Caruso,player_threes,Player Three-Pointers Made (Over/Under),Over,116,1.5,fanduel,Alex Caruso
2025-06-18T20:15:11.954317,Alex Caruso,player_threes,Player Three-Pointers Made (Over/Under),Under,-154,1.5,fanduel,Alex Caruso
2025-06-18T20:15:11.954322,Shai Gilgeous-Alexander,player_threes,Player Three-Pointers Made (Over/Under),Over,-108,1.5,fanduel,Shai Gilgeous-Alexander
2025-06-18T20:15:11.954326,Shai Gilgeous-Alexander,player_threes,Player Three-Pointers Made (Over/Under),Under,-122,1.5,fanduel,Shai Gilgeous-Alexander
2025-06-18T20:15:11.954332,Myles Turner,player_threes,Player Three-Pointers Made (Over/Under),Over,102,1.5,fanduel,Myles Turner
2025-06-18T20:15:11.954336,Myles Turner,player_threes,Player Three-Pointers Made (Over/Under),Under,-136,1.5,fanduel,Myles Turner
2025-06-18T20:15:11.954341,Obi Toppin,player_threes,Player Three-Pointers Made (Over/Under),Over,-106,1.5,fanduel,Obi Toppin
2025-06-18T20:15:11.954345,Obi Toppin,player_threes,Player Three-Pointers Made (Over/Under),Under,-125,1.5,fanduel,Obi Toppin
2025-06-18T20:15:11.954350,Bennedict Mathurin,player_threes,Player Three-Pointers Made (Over/Under),Over,-174,0.5,fanduel,Bennedict Mathurin
2025-06-18T20:15:11.954354,Bennedict Mathurin,player_threes,Player Three-Pointers Made (Over/Under),Under,130,0.5,fanduel,Bennedict Mathurin
2025-06-18T20:15:11.954359,Luguentz Dort,player_threes,Player Three-Pointers Made (Over/Under),Over,-152,1.5,fanduel,Luguentz Dort
2025-06-18T20:15:11.954364,Luguentz Dort,player_threes,Player Three-Pointers Made (Over/Under),Under,114,1.5,fanduel,Luguentz Dort
2025-06-18T20:15:11.954369,Jalen Williams,player_threes,Player Three-Pointers Made (Over/Under),Over,-110,1.5,fanduel,Jalen Williams
2025-06-18T20:15:11.954373,Jalen Williams,player_threes,Player Three-Pointers Made (Over/Under),Under,-120,1.5,fanduel,Jalen Williams
2025-06-18T20:15:11.954378,Aaron Nesmith,player_threes,Player Three-Pointers Made (Over/Under),Over,-200,1.5,fanduel,Aaron Nesmith
2025-06-18T20:15:11.954382,Aaron Nesmith,player_threes,Player Three-Pointers Made (Over/Under),Under,148,1.5,fanduel,Aaron Nesmith
2025-06-18T20:15:11.954387,Andrew Nembhard,player_threes,Player Three-Pointers Made (Over/Under),Over,138,1.5,fanduel,Andrew Nembhard
2025-06-18T20:15:11.954391,Andrew Nembhard,player_threes,Player Three-Pointers Made (Over/Under),Under,-186,1.5,fanduel,Andrew Nembhard
2025-06-18T20:15:11.954396,Pascal Siakam,player_threes,Player Three-Pointers Made (Over/Under),Over,130,1.5,fanduel,Pascal Siakam
2025-06-18T20:15:11.954401,Pascal Siakam,player_threes,Player Three-Pointers Made (Over/Under),Under,-174,1.5,fanduel,Pascal Siakam
2025-06-18T20:15:11.954406,Chet Holmgren,player_threes,Player Three-Pointers Made (Over/Under),Over,146,1.5,fanduel,Chet Holmgren
2025-06-18T20:15:11.954410,Chet Holmgren,player_threes,Player Three-Pointers Made (Over/Under),Under,-198,1.5,fanduel,Chet Holmgren
